# Reduced electric-dipole matrix elements |<n1 l1 j1 || d || n2 l2 j2>| in e a0,
# from the Portal for High-Precision Atomic Data and Computation, https://www1.udel.edu/atom/
# (M. S. Safronova et al., linearized coupled-cluster method; retrieved 2026-07-28).
species,n1,l1,j1,n2,l2,j2,matrix_element,uncertainty
Li,8,0,0.5,10,1,0.5,0.415222,0.0163826
Li,8,0,0.5,10,1,1.5,0.587215,0.0234984
Li,3,2,1.5,8,1,0.5,0.200806,0.0013886
Li,4,2,1.5,8,1,0.5,0.607085,0.0038835
Li,5,2,1.5,8,1,0.5,1.56374,0.0098284
Li,6,2,1.5,8,1,0.5,4.3052,0.0284642
Li,7,2,1.5,8,1,0.5,17.6058,0.130659
Li,8,1,0.5,8,2,1.5,107.411,0.0537053
Li,8,1,0.5,9,2,1.5,30.492,0.015246
Li,8,1,0.5,10,2,1.5,12.5167,0.0062584
Li,3,2,1.5,8,1,1.5,0.0898035,0.0006251
Li,3,2,2.5,8,1,1.5,0.269416,0.001876
Li,4,2,1.5,8,1,1.5,0.271497,0.0017479
Li,4,2,2.5,8,1,1.5,0.81451,0.0052487
Li,5,2,1.5,8,1,1.5,0.699327,0.0044226
Li,5,2,2.5,8,1,1.5,2.09803,0.0132783
Li,6,2,1.5,8,1,1.5,1.92535,0.0128053
Li,6,2,2.5,8,1,1.5,5.77626,0.0385413
Li,7,2,1.5,8,1,1.5,7.87356,0.0588095
Li,7,2,2.5,8,1,1.5,23.6207,0.175919
Li,8,1,1.5,8,2,1.5,48.0355,0.0240177
Li,8,1,1.5,8,2,2.5,144.106,0.0720532
Li,8,1,1.5,9,2,1.5,13.6364,0.0068182
Li,8,1,1.5,9,2,2.5,40.9093,0.0204547
Li,8,1,1.5,10,2,1.5,5.59764,0.0027988
Li,8,1,1.5,10,2,2.5,16.7929,0.0083965
Li,4,3,2.5,9,2,1.5,0.233152,0.0035625
Li,5,3,2.5,9,2,1.5,0.727757,0.0249863
Li,6,3,2.5,9,2,1.5,1.84677,0.0009234
Li,7,3,2.5,9,2,1.5,5.1756,0.0025878
Li,8,3,2.5,9,2,1.5,20.9821,0.0104911
Li,9,2,1.5,9,3,2.5,177.497,0.0887485
Li,9,2,1.5,10,3,2.5,66.695,0.0333475
Li,4,3,2.5,9,2,2.5,0.0623127,0.0009539
Li,4,3,3.5,9,2,2.5,0.27867,0.0042611
Li,5,3,2.5,9,2,2.5,0.194501,0.0066826
Li,5,3,3.5,9,2,2.5,0.869836,0.0298742
Li,6,3,2.5,9,2,2.5,0.493558,0.0002468
